[MC913] start p=0.999 (32 workers)
[MC913] p=0.992 fail=1597/800 pass=3 total=1600 ratio=0.998125
[MC913] p=0.992 fail=1697/800 pass=3 total=1700 ratio=0.998235
[MC913] p=0.992 fail=1797/800 pass=3 total=1800 ratio=0.998333
[MC913] p=0.992 fail=1897/800 pass=3 total=1900 ratio=0.998421
[MC913] p=0.992 fail=1996/800 pass=4 total=2000 ratio=0.998
[MC913] p=0.992 fail=2096/800 pass=4 total=2100 ratio=0.998095
[MC913] p=0.992 fail=2196/800 pass=4 total=2200 ratio=0.998182
[MC913] p=0.992 fail=2296/800 pass=4 total=2300 ratio=0.998261
[MC913] p=0.992 fail=2396/800 pass=4 total=2400 ratio=0.998333
[MC913] p=0.992 fail=2496/800 pass=4 total=2500 ratio=0.9984
[MC913] p=0.992 fail=2596/800 pass=4 total=2600 ratio=0.998462
[MC913] p=0.992 fail=2696/800 pass=4 total=2700 ratio=0.998519
[MC913] p=0.992 fail=2795/800 pass=5 total=2800 ratio=0.998214
[MC913] p=0.992 fail=2895/800 pass=5 total=2900 ratio=0.998276
[MC913] p=0.992 fail=2995/800 pass=5 total=3000 ratio=0.998333
[MC913] p=0.992 fail=3095/800 pass=5 total=3100 ratio=0.998387
[MC913] p=0.992 fail=3195/800 pass=5 total=3200 ratio=0.998437
[MC913] done p=0.992 ratio_fail=0.9984375 ratio/p=1.00649 total=3200 elapsed=16.7s
[MC913] start p=0.991 (32 workers)
[MC913] p=0.991 fail=100/800 pass=0 total=100 ratio=1
[MC913] p=0.991 fail=200/800 pass=0 total=200 ratio=1
[MC913] p=0.991 fail=300/800 pass=0 total=300 ratio=1
[MC913] p=0.991 fail=400/800 pass=0 total=400 ratio=1
[MC913] p=0.991 fail=500/800 pass=0 total=500 ratio=1
[MC913] p=0.991 fail=600/800 pass=0 total=600 ratio=1
[MC913] p=0.991 fail=700/800 pass=0 total=700 ratio=1
[MC913] p=0.991 fail=800/800 pass=0 total=800 ratio=1
[MC913] p=0.991 fail=900/800 pass=0 total=900 ratio=1
[MC913] p=0.991 fail=1000/800 pass=0 total=1000 ratio=1
[MC913] p=0.991 fail=1100/800 pass=0 total=1100 ratio=1
[MC913] p=0.991 fail=1200/800 pass=0 total=1200 ratio=1
[MC913] p=0.991 fail=1300/800 pass=0 total=1300 ratio=1
[MC913] p=0.991 fail=1400/800 pass=0 total=1400 ratio=1
[MC913] p=0.991 fail=1500/800 pass=0 total=1500 ratio=1
[MC913] p=0.991 fail=1600/800 pass=0 total=1600 ratio=1
[MC913] p=0.991 fail=1799/800 pass=1 total=1800 ratio=0.999444
[MC913] p=0.991 fail=1899/800 pass=1 total=1900 ratio=0.999474
[MC913] p=0.991 fail=1999/800 pass=1 total=2000 ratio=0.9995
[MC913] p=0.991 fail=2099/800 pass=1 total=2100 ratio=0.999524
[MC913] p=0.991 fail=2199/800 pass=1 total=2200 ratio=0.999545
[MC913] p=0.991 fail=2299/800 pass=1 total=2300 ratio=0.999565
[MC913] p=0.991 fail=2399/800 pass=1 total=2400 ratio=0.999583
[MC913] p=0.991 fail=2499/800 pass=1 total=2500 ratio=0.9996
[MC913] p=0.991 fail=2599/800 pass=1 total=2600 ratio=0.999615
[MC913] p=0.991 fail=2699/800 pass=1 total=2700 ratio=0.99963
[MC913] p=0.991 fail=2799/800 pass=1 total=2800 ratio=0.999643
[MC913] p=0.991 fail=2899/800 pass=1 total=2900 ratio=0.999655
[MC913] p=0.991 fail=2999/800 pass=1 total=3000 ratio=0.999667
[MC913] p=0.991 fail=3099/800 pass=1 total=3100 ratio=0.999677
[MC913] p=0.991 fail=3199/800 pass=1 total=3200 ratio=0.999687
[MC913] done p=0.991 ratio_fail=0.9996875 ratio/p=1.00877 total=3200 elapsed=14.9s
[MC913] start p=0.99 (32 workers)
[MC913] p=0.99 fail=100/800 pass=0 total=100 ratio=1
[MC913] p=0.99 fail=200/800 pass=0 total=200 ratio=1
[MC913] p=0.99 fail=300/800 pass=0 total=300 ratio=1
[MC913] p=0.99 fail=400/800 pass=0 total=400 ratio=1
[MC913] p=0.99 fail=500/800 pass=0 total=500 ratio=1
[MC913] p=0.99 fail=600/800 pass=0 total=600 ratio=1
[MC913] p=0.99 fail=700/800 pass=0 total=700 ratio=1
[MC913] p=0.99 fail=800/800 pass=0 total=800 ratio=1
[MC913] p=0.99 fail=900/800 pass=0 total=900 ratio=1
[MC913] p=0.99 fail=1000/800 pass=0 total=1000 ratio=1
[MC913] p=0.99 fail=1100/800 pass=0 total=1100 ratio=1
[MC913] p=0.99 fail=1200/800 pass=0 total=1200 ratio=1
[MC913] p=0.99 fail=1300/800 pass=0 total=1300 ratio=1
[MC913] p=0.99 fail=1400/800 pass=0 total=1400 ratio=1
[MC913] p=0.99 fail=1500/800 pass=0 total=1500 ratio=1
[MC913] p=0.99 fail=1600/800 pass=0 total=1600 ratio=1
[MC913] p=0.99 fail=1700/800 pass=0 total=1700 ratio=1
[MC913] p=0.99 fail=1800/800 pass=0 total=1800 ratio=1
[MC913] p=0.99 fail=1999/800 pass=1 total=2000 ratio=0.9995
[MC913] p=0.99 fail=2099/800 pass=1 total=2100 ratio=0.999524
[MC913] p=0.99 fail=2199/800 pass=1 total=2200 ratio=0.999545
[MC913] p=0.99 fail=2299/800 pass=1 total=2300 ratio=0.999565
[MC913] p=0.99 fail=2399/800 pass=1 total=2400 ratio=0.999583
[MC913] p=0.99 fail=2499/800 pass=1 total=2500 ratio=0.9996
[MC913] p=0.99 fail=2599/800 pass=1 total=2600 ratio=0.999615
[MC913] p=0.99 fail=2699/800 pass=1 total=2700 ratio=0.99963
[MC913] p=0.99 fail=2798/800 pass=2 total=2800 ratio=0.999286
[MC913] p=0.99 fail=2898/800 pass=2 total=2900 ratio=0.99931
[MC913] p=0.99 fail=2998/800 pass=2 total=3000 ratio=0.999333
[MC913] p=0.99 fail=3098/800 pass=2 total=3100 ratio=0.999355
[MC913] p=0.99 fail=3198/800 pass=2 total=3200 ratio=0.999375
[MC913] done p=0.99 ratio_fail=0.999375 ratio/p=1.00947 total=3200 elapsed=13.8s
[MC913] wrote: /home/alan23273850/flag-analysis2/[[9,1,3]]_surface_code_seq/mc_results/mc_table_913_p0.99-p0.999_cms.csv
[MC913] wrote: /home/alan23273850/flag-analysis2/[[9,1,3]]_surface_code_seq/mc_results/mc_table_913_p0.99-p0.999_cms.txt
